"Período de tempo","Atividades","Distância total","Distância média","Distância máxima","Tempo total de atividade","Tempo em movimento","Tempo médio","Tempo máximo","Total de percursos","Tempo de escalada","Total de subida na rota","Máximo de subida na rota","Percursos tentados","Percursos concluídos","Concluídas sem quedas","Quedas","Calorias na atividade","Subida total","Média da subida","Subida máxima","Descida total","Média da descida","Descida máxima","Velocidade média","Velocidade máxima","Ritmo médio","Ritmo médio ajustado por inclinação","Melhor ritmo","Frequência cardíaca média","Frequência cardíaca máxima","Cadência média de corrida","Cadência de corrida máxima","Cadência média de bicicleta","Cadência de bicicleta máxima","Potência média","Energia máxima","Oscilação vertical","Tempo de contato com o solo","Comprimento média de passos","Média de estresse","Cadência média","Cadência máxima","Tempo total de descanso","Tempo total"
"2016","2","--","--","--","1:01.2 h:m:s","--","0:30.6 h:m:s","0:36.7 h:m:s","--","--","--","--","--","--","--","--","2","--","--","--","--","--","--","--","--","--","--","--","72 bpm","84 bpm","--","--","--","--","--","--","--","--","--","--","--","--","--","1:01.2 h:m:s"
"2017","1","20.00 km","20.00 km","20.00 km","1:49:14 h:m:s","1:48:59 h:m:s","1:49:14 h:m:s","1:49:14 h:m:s","--","--","--","--","--","--","--","--","1,383","276 m","276 m","276 m","268 m","268 m","268 m","11.0 km/h","13.9 km/h","5:28 /km","--","4:19 /km","153 bpm","172 bpm","166 ppm","174 ppm","--","--","--","--","--","--","1.10 m","--","--","--","--","1:49:14 h:m:s"
"2018","4","51.75 km","12.94 km","25.00 km","4:55:29 h:m:s","4:54:24 h:m:s","1:13:52 h:m:s","2:23:40 h:m:s","--","--","--","--","--","--","--","--","3,405","710 m","177 m","474 m","637 m","212 m","479 m","10.5 km/h","232.9 km/h","5:43 /km","--","0:15 /km","141 bpm","167 bpm","162 ppm","174 ppm","--","--","--","--","--","--","1.09 m","--","--","--","--","4:55:29 h:m:s"
"2019","255","1,634.06 km","6.41 km","44.68 km","157:34:38 h:m:s","155:56:12 h:m:s","37:05 h:m:s","5:02:57 h:m:s","--","--","--","--","--","--","--","--","106,887","27,940 m","132 m","3,511 m","26,207 m","143 m","2,247 m","10.4 km/h","235.2 km/h","5:47 /km","--","0:15 /km","138 bpm","199 bpm","166 ppm","248 ppm","--","--","--","--","--","--","1.17 m","--","--","--","--","157:34:38 h:m:s"
"2020","179","1,841.19 km","10.29 km","88.88 km","196:25:50 h:m:s","184:53:40 h:m:s","1:05:51 h:m:s","14:53:29 h:m:s","--","--","--","--","--","--","--","--","117,569","23,773 m","145 m","1,099 m","23,431 m","163 m","1,054 m","9.4 km/h","235.4 km/h","6:24 /km","--","0:15 /km","134 bpm","203 bpm","165 ppm","248 ppm","--","--","--","--","--","--","1.10 m","--","--","--","--","196:25:50 h:m:s"
"2021","191","2,920.33 km","15.29 km","133.53 km","315:12:25 h:m:s","283:04:03 h:m:s","1:39:01 h:m:s","20:04:44 h:m:s","--","--","--","--","--","--","--","--","169,146","41,069 m","221 m","994 m","41,461 m","223 m","1,002 m","9.3 km/h","235.5 km/h","6:29 /km","--","0:15 /km","130 bpm","208 bpm","160 ppm","248 ppm","--","--","--","--","--","--","0.99 m","--","--","--","--","315:12:25 h:m:s"
"2022","111","1,013.93 km","9.13 km","40.01 km","99:10:07 h:m:s","94:26:39 h:m:s","53:36 h:m:s","4:36:43 h:m:s","--","--","--","--","--","--","--","--","68,938","14,876 m","139 m","997 m","14,595 m","192 m","998 m","10.2 km/h","235.9 km/h","5:52 /km","--","0:15 /km","137 bpm","208 bpm","168 ppm","248 ppm","--","--","--","--","--","--","1.17 m","--","--","--","--","99:10:07 h:m:s"
"Resumo","743","7,481.26 km","12.34 km","133.53 km","775:08:44 h:m:s","7,234,277 h:m:s","1:02:44 h:m:s","20:04:44 h:m:s","--","--","--","--","--","--","--","--","467,330","108,644 m","182 m","3,511 m","106,599 m","200 m","2,247 m","10.1 km/h","235.9 km/h","5:56 /km","--","0:15 /km","129 bpm","208 bpm","165 ppm","248 ppm","--","--","--","--","0.00 cm","--","1.10 m","--","--","--","--","7,738,764 h:m:s"
