"Período de tempo","Atividades","Distância total","Distância média","Distância máxima","Tempo total de atividade","Tempo em movimento","Tempo médio","Tempo máximo","Total de percursos","Tempo de escalada","Total de subida na rota","Máximo de subida na rota","Percursos tentados","Percursos concluídos","Concluídas sem quedas","Quedas","Calorias na atividade","Subida total","Média da subida","Subida máxima","Descida total","Média da descida","Descida máxima","Velocidade média","Velocidade máxima","Ritmo médio","Ritmo médio ajustado por inclinação","Melhor ritmo","Frequência cardíaca média","Frequência cardíaca máxima","Cadência média de corrida","Cadência de corrida máxima","Cadência média de bicicleta","Cadência de bicicleta máxima","Potência média","Energia máxima","Oscilação vertical","Tempo de contato com o solo","Comprimento média de passos","Média de estresse","Cadência média","Cadência máxima","Tempo total de descanso","Tempo total"
"08/15/2021","5","75.56 km","15.11 km","36.01 km","7:15:30 h:m:s","6:53:59 h:m:s","1:27:06 h:m:s","3:13:17 h:m:s","--","--","--","--","--","--","--","--","4,432","1,049 m","210 m","520 m","1,083 m","217 m","516 m","10.4 km/h","234.3 km/h","5:46 /km","--","0:15 /km","121 bpm","174 bpm","167 ppm","178 ppm","--","--","--","--","--","--","1.05 m","--","--","--","--","7:15:30 h:m:s"
"08/08/2021","2","15.39 km","7.69 km","10.36 km","1:27:22 h:m:s","1:26:49 h:m:s","43:41 h:m:s","59:37 h:m:s","--","--","--","--","--","--","--","--","846","122 m","122 m","122 m","117 m","117 m","117 m","10.6 km/h","231.6 km/h","5:41 /km","--","0:16 /km","123 bpm","161 bpm","168 ppm","248 ppm","--","--","--","--","--","--","1.06 m","--","--","--","--","1:27:22 h:m:s"
"08/01/2021","4","69.29 km","17.32 km","34.01 km","6:26:10 h:m:s","6:25:14 h:m:s","1:36:32 h:m:s","3:02:39 h:m:s","--","--","--","--","--","--","--","--","3,891","1,003 m","251 m","514 m","995 m","249 m","501 m","10.8 km/h","233.1 km/h","5:34 /km","--","0:15 /km","137 bpm","174 bpm","167 ppm","178 ppm","--","--","--","--","--","--","1.05 m","--","--","--","--","6:26:10 h:m:s"
"07/25/2021","2","39.72 km","19.86 km","30.01 km","3:50:16 h:m:s","3:49:42 h:m:s","1:55:08 h:m:s","2:53:08 h:m:s","--","--","--","--","--","--","--","--","2,456","623 m","311 m","464 m","625 m","312 m","469 m","10.4 km/h","202.6 km/h","5:48 /km","--","0:18 /km","147 bpm","178 bpm","168 ppm","180 ppm","--","--","--","--","--","--","1.02 m","--","--","--","--","3:50:16 h:m:s"
"07/18/2021","4","49.64 km","12.41 km","18.58 km","4:54:48 h:m:s","4:54:03 h:m:s","1:13:42 h:m:s","1:56:31 h:m:s","--","--","--","--","--","--","--","--","3,201","824 m","206 m","414 m","750 m","187 m","336 m","10.1 km/h","232.3 km/h","5:56 /km","--","0:15 /km","141 bpm","175 bpm","166 ppm","248 ppm","--","--","--","--","--","--","1.03 m","--","--","--","--","4:54:48 h:m:s"
"07/11/2021","4","64.03 km","16.01 km","43.70 km","3:57:40 h:m:s","3:50:52 h:m:s","59:25 h:m:s","1:21:53 h:m:s","--","--","--","--","--","--","--","--","1,770","875 m","292 m","642 m","869 m","290 m","638 m","16.2 km/h","234.9 km/h","3:43 /km","--","0:15 /km","117 bpm","164 bpm","148 ppm","176 ppm","--","--","--","--","--","--","0.96 m","--","--","--","--","3:57:40 h:m:s"
"07/04/2021","1","20.57 km","20.57 km","20.57 km","2:09:07 h:m:s","2:02:18 h:m:s","2:09:07 h:m:s","2:09:07 h:m:s","--","--","--","--","--","--","--","--","768","281 m","281 m","281 m","279 m","279 m","279 m","9.6 km/h","24.3 km/h","6:17 /km","--","2:28 /km","102 bpm","152 bpm","--","--","--","--","--","--","--","--","--","--","--","--","--","2:09:07 h:m:s"
"06/27/2021","3","17.01 km","5.67 km","11.86 km","2:08:43 h:m:s","2:06:55 h:m:s","42:54 h:m:s","1:03:16 h:m:s","--","--","--","--","--","--","--","--","1,143","228 m","76 m","194 m","219 m","73 m","105 m","7.9 km/h","181.7 km/h","7:34 /km","--","0:20 /km","104 bpm","172 bpm","134 ppm","176 ppm","--","--","--","--","--","--","0.80 m","--","--","--","--","2:08:43 h:m:s"
"06/20/2021","3","47.73 km","15.91 km","24.02 km","4:20:15 h:m:s","4:19:51 h:m:s","1:26:45 h:m:s","2:00:15 h:m:s","--","--","--","--","--","--","--","--","3,143","578 m","193 m","269 m","599 m","200 m","274 m","11.0 km/h","77.0 km/h","5:27 /km","--","0:47 /km","145 bpm","189 bpm","167 ppm","178 ppm","--","--","--","--","--","--","1.09 m","--","--","--","--","4:20:15 h:m:s"
"06/13/2021","3","44.88 km","14.96 km","23.50 km","4:08:22 h:m:s","4:07:53 h:m:s","1:22:47 h:m:s","2:03:57 h:m:s","--","--","--","--","--","--","--","--","2,847","570 m","190 m","311 m","566 m","189 m","305 m","10.8 km/h","32.5 km/h","5:32 /km","--","1:51 /km","146 bpm","176 bpm","166 ppm","176 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","4:08:22 h:m:s"
"06/06/2021","2","22.02 km","11.01 km","11.01 km","2:14:31 h:m:s","2:14:09 h:m:s","1:07:16 h:m:s","1:08:54 h:m:s","--","--","--","--","--","--","--","--","1,453","382 m","191 m","203 m","384 m","192 m","203 m","9.8 km/h","23.3 km/h","6:06 /km","--","2:35 /km","144 bpm","175 bpm","166 ppm","174 ppm","--","--","--","--","--","--","0.99 m","--","--","--","--","2:14:31 h:m:s"
"05/30/2021","4","59.95 km","14.99 km","23.01 km","7:47:42 h:m:s","7:43:08 h:m:s","1:56:56 h:m:s","4:02:53 h:m:s","--","--","--","--","--","--","--","--","4,359","1,155 m","289 m","550 m","1,142 m","286 m","551 m","7.7 km/h","71.3 km/h","7:48 /km","--","0:51 /km","137 bpm","175 bpm","155 ppm","248 ppm","--","--","--","--","--","--","1.00 m","--","--","--","--","7:47:42 h:m:s"
"05/23/2021","4","36.44 km","9.11 km","12.18 km","4:38:40 h:m:s","3:29:53 h:m:s","1:09:40 h:m:s","1:33:36 h:m:s","--","--","--","--","--","--","--","--","2,532","469 m","156 m","183 m","470 m","157 m","189 m","7.8 km/h","126.7 km/h","7:39 /km","--","0:28 /km","125 bpm","163 bpm","157 ppm","248 ppm","--","--","--","--","--","--","0.88 m","--","--","--","--","4:38:40 h:m:s"
"05/16/2021","2","18.22 km","9.11 km","16.01 km","5:17:19 h:m:s","1:47:33 h:m:s","2:38:40 h:m:s","3:53:50 h:m:s","--","--","--","--","--","--","--","--","1,494","235 m","235 m","235 m","228 m","228 m","228 m","3.4 km/h","225.1 km/h","17:25 /km","--","0:16 /km","108 bpm","174 bpm","144 ppm","182 ppm","--","--","--","--","--","--","0.60 m","--","--","--","--","5:17:19 h:m:s"
"05/09/2021","3","28.31 km","9.44 km","11.01 km","3:14:16 h:m:s","3:13:32 h:m:s","1:04:45 h:m:s","1:13:25 h:m:s","--","--","--","--","--","--","--","--","1,937","451 m","150 m","177 m","450 m","150 m","178 m","8.7 km/h","227.7 km/h","6:52 /km","--","0:16 /km","138 bpm","183 bpm","159 ppm","242 ppm","--","--","--","--","--","--","0.91 m","--","--","--","--","3:14:16 h:m:s"
"05/02/2021","4","27.28 km","6.82 km","8.49 km","4:06:02 h:m:s","4:00:34 h:m:s","1:01:30 h:m:s","1:34:17 h:m:s","--","--","--","--","--","--","--","--","1,718","405 m","101 m","129 m","468 m","117 m","127 m","6.7 km/h","105.7 km/h","9:01 /km","--","0:34 /km","100 bpm","145 bpm","133 ppm","236 ppm","--","--","--","--","--","--","0.81 m","--","--","--","--","4:06:02 h:m:s"
"04/25/2021","6","126.08 km","21.01 km","21.02 km","13:17:57 h:m:s","13:16:41 h:m:s","2:13:00 h:m:s","2:16:35 h:m:s","--","--","--","--","--","--","--","--","8,111","1,464 m","244 m","291 m","1,494 m","249 m","290 m","9.5 km/h","46.8 km/h","6:20 /km","--","1:17 /km","139 bpm","208 bpm","164 ppm","176 ppm","--","--","--","--","--","--","0.96 m","--","--","--","--","13:17:57 h:m:s"
"04/18/2021","7","147.15 km","21.02 km","21.04 km","15:33:46 h:m:s","15:32:21 h:m:s","2:13:24 h:m:s","2:14:48 h:m:s","--","--","--","--","--","--","--","--","8,252","1,766 m","252 m","294 m","1,781 m","254 m","292 m","9.5 km/h","148.7 km/h","6:21 /km","--","0:24 /km","130 bpm","183 bpm","164 ppm","174 ppm","--","--","--","--","--","--","0.96 m","--","--","--","--","15:33:46 h:m:s"
"04/11/2021","7","147.12 km","21.02 km","21.05 km","15:28:13 h:m:s","15:26:46 h:m:s","2:12:36 h:m:s","2:19:39 h:m:s","--","--","--","--","--","--","--","--","7,825","1,969 m","281 m","303 m","1,980 m","283 m","298 m","9.5 km/h","234.5 km/h","6:19 /km","--","0:15 /km","127 bpm","182 bpm","164 ppm","176 ppm","--","--","--","--","--","--","0.97 m","--","--","--","--","15:28:13 h:m:s"
"04/04/2021","7","147.16 km","21.02 km","21.09 km","15:24:48 h:m:s","15:23:34 h:m:s","2:12:07 h:m:s","2:14:08 h:m:s","--","--","--","--","--","--","--","--","8,032","1,882 m","269 m","378 m","1,883 m","269 m","375 m","9.5 km/h","89.7 km/h","6:17 /km","--","0:40 /km","130 bpm","173 bpm","163 ppm","174 ppm","--","--","--","--","--","--","0.97 m","--","--","--","--","15:24:48 h:m:s"
"03/28/2021","3","63.03 km","21.01 km","21.02 km","6:27:46 h:m:s","6:27:11 h:m:s","2:09:15 h:m:s","2:14:45 h:m:s","--","--","--","--","--","--","--","--","3,745","846 m","282 m","305 m","843 m","281 m","305 m","9.8 km/h","112.4 km/h","6:09 /km","--","0:32 /km","135 bpm","172 bpm","163 ppm","178 ppm","--","--","--","--","--","--","0.99 m","--","--","--","--","6:27:46 h:m:s"
"03/21/2021","3","48.03 km","16.01 km","21.01 km","4:43:37 h:m:s","4:42:57 h:m:s","1:34:32 h:m:s","1:55:47 h:m:s","--","--","--","--","--","--","--","--","2,889","706 m","235 m","306 m","703 m","234 m","309 m","10.2 km/h","228.6 km/h","5:54 /km","--","0:16 /km","135 bpm","162 bpm","163 ppm","174 ppm","--","--","--","--","--","--","1.03 m","--","--","--","--","4:43:37 h:m:s"
"03/14/2021","5","91.55 km","18.31 km","35.51 km","8:51:19 h:m:s","7:04:10 h:m:s","1:46:16 h:m:s","3:34:00 h:m:s","--","--","--","--","--","--","--","--","4,764","1,228 m","246 m","360 m","1,207 m","241 m","409 m","10.3 km/h","228.0 km/h","5:48 /km","--","0:16 /km","138 bpm","187 bpm","165 ppm","244 ppm","--","--","--","--","--","--","1.06 m","--","--","--","--","8:51:19 h:m:s"
"03/07/2021","7","84.48 km","12.07 km","21.10 km","8:43:33 h:m:s","8:33:28 h:m:s","1:14:48 h:m:s","2:53:09 h:m:s","--","--","--","--","--","--","--","--","4,950","1,304 m","186 m","406 m","1,297 m","185 m","396 m","9.7 km/h","53.8 km/h","6:12 /km","--","1:07 /km","127 bpm","169 bpm","160 ppm","248 ppm","--","--","--","--","--","--","1.01 m","--","--","--","--","8:43:33 h:m:s"
"02/28/2021","4","58.06 km","14.52 km","23.20 km","4:57:13 h:m:s","4:55:27 h:m:s","1:14:18 h:m:s","2:13:15 h:m:s","--","--","--","--","--","--","--","--","2,681","765 m","191 m","334 m","749 m","187 m","324 m","11.7 km/h","230.1 km/h","5:07 /km","--","0:16 /km","126 bpm","171 bpm","164 ppm","174 ppm","--","--","--","--","--","--","1.11 m","--","--","--","--","4:57:13 h:m:s"
"02/21/2021","5","52.26 km","10.45 km","23.01 km","4:52:16 h:m:s","4:43:31 h:m:s","58:27 h:m:s","2:03:38 h:m:s","--","--","--","--","--","--","--","--","2,847","738 m","148 m","318 m","746 m","149 m","323 m","10.7 km/h","215.0 km/h","5:36 /km","--","0:17 /km","109 bpm","181 bpm","165 ppm","174 ppm","--","--","--","--","--","--","1.06 m","--","--","--","--","4:52:16 h:m:s"
"02/14/2021","7","96.50 km","13.79 km","39.29 km","9:51:32 h:m:s","8:35:05 h:m:s","1:24:30 h:m:s","3:29:35 h:m:s","--","--","--","--","--","--","--","--","4,307","1,745 m","249 m","654 m","1,816 m","259 m","652 m","9.8 km/h","54.9 km/h","6:08 /km","--","1:06 /km","120 bpm","169 bpm","154 ppm","224 ppm","--","--","--","--","--","--","0.93 m","--","--","--","--","9:51:32 h:m:s"
"02/07/2021","4","34.77 km","8.69 km","15.00 km","3:11:39 h:m:s","3:11:06 h:m:s","47:55 h:m:s","1:28:14 h:m:s","--","--","--","--","--","--","--","--","2,174","508 m","127 m","232 m","547 m","137 m","230 m","10.9 km/h","231.5 km/h","5:31 /km","--","0:16 /km","135 bpm","191 bpm","166 ppm","178 ppm","--","--","--","--","--","--","1.14 m","--","--","--","--","3:11:39 h:m:s"
"01/31/2021","3","37.93 km","12.64 km","18.02 km","4:05:34 h:m:s","4:04:50 h:m:s","1:21:51 h:m:s","1:48:16 h:m:s","--","--","--","--","--","--","--","--","2,815","562 m","187 m","305 m","572 m","191 m","206 m","9.3 km/h","222.0 km/h","6:28 /km","--","0:16 /km","142 bpm","194 bpm","164 ppm","176 ppm","--","--","--","--","--","--","0.95 m","--","--","--","--","4:05:34 h:m:s"
"01/24/2021","3","34.02 km","11.34 km","19.00 km","3:11:40 h:m:s","3:11:15 h:m:s","1:03:53 h:m:s","1:45:52 h:m:s","--","--","--","--","--","--","--","--","2,272","420 m","210 m","285 m","426 m","213 m","290 m","10.7 km/h","210.9 km/h","5:38 /km","--","0:17 /km","140 bpm","192 bpm","165 ppm","172 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","3:11:40 h:m:s"
"01/17/2021","2","29.03 km","14.52 km","19.02 km","4:37:55 h:m:s","4:36:26 h:m:s","2:18:58 h:m:s","3:39:01 h:m:s","--","--","--","--","--","--","--","--","2,109","793 m","396 m","639 m","834 m","417 m","636 m","6.3 km/h","222.6 km/h","9:34 /km","--","0:16 /km","124 bpm","181 bpm","143 ppm","248 ppm","--","--","--","--","--","--","0.87 m","--","--","--","--","4:37:55 h:m:s"
"01/10/2021","3","34.55 km","11.52 km","13.01 km","4:30:28 h:m:s","2:07:12 h:m:s","1:30:09 h:m:s","2:23:06 h:m:s","--","--","--","--","--","--","--","--","2,372","768 m","256 m","474 m","844 m","281 m","476 m","7.7 km/h","15.3 km/h","7:50 /km","--","3:55 /km","126 bpm","178 bpm","154 ppm","248 ppm","--","--","--","--","--","--","0.91 m","--","--","--","--","4:30:28 h:m:s"
"01/03/2021","3","35.38 km","11.79 km","16.02 km","3:17:36 h:m:s","3:17:02 h:m:s","1:05:52 h:m:s","1:33:38 h:m:s","--","--","--","--","--","--","--","--","2,160","496 m","165 m","249 m","530 m","177 m","259 m","10.7 km/h","221.4 km/h","5:35 /km","--","0:16 /km","136 bpm","166 bpm","163 ppm","176 ppm","--","--","--","--","--","--","1.11 m","--","--","--","--","3:17:36 h:m:s"
"12/27/2020","3","38.07 km","12.69 km","15.00 km","4:10:32 h:m:s","4:09:58 h:m:s","1:23:31 h:m:s","1:45:18 h:m:s","--","--","--","--","--","--","--","--","2,586","452 m","226 m","286 m","449 m","225 m","286 m","9.1 km/h","232.7 km/h","6:35 /km","--","0:15 /km","136 bpm","173 bpm","160 ppm","238 ppm","--","--","--","--","--","--","0.96 m","--","--","--","--","4:10:32 h:m:s"
"12/20/2020","4","17.53 km","4.38 km","8.10 km","2:23:47 h:m:s","2:23:28 h:m:s","35:57 h:m:s","1:05:43 h:m:s","--","--","--","--","--","--","--","--","1,381","232 m","58 m","108 m","208 m","52 m","94 m","7.3 km/h","231.0 km/h","8:12 /km","--","0:16 /km","128 bpm","169 bpm","152 ppm","236 ppm","--","--","--","--","--","--","0.81 m","--","--","--","--","2:23:47 h:m:s"
"12/06/2020","4","153.11 km","38.28 km","88.88 km","25:22:39 h:m:s","21:58:15 h:m:s","6:20:40 h:m:s","13:17:12 h:m:s","--","--","--","--","--","--","--","--","8,743","1,356 m","452 m","1,099 m","1,373 m","458 m","1,054 m","6.0 km/h","193.6 km/h","9:57 /km","--","0:19 /km","122 bpm","174 bpm","149 ppm","248 ppm","--","--","--","--","--","--","0.83 m","--","--","--","--","25:22:39 h:m:s"
"11/29/2020","3","36.25 km","12.08 km","21.01 km","3:23:22 h:m:s","3:22:58 h:m:s","1:07:47 h:m:s","1:56:16 h:m:s","--","--","--","--","--","--","--","--","2,198","395 m","198 m","277 m","389 m","194 m","274 m","10.7 km/h","225.7 km/h","5:37 /km","--","0:16 /km","128 bpm","171 bpm","163 ppm","240 ppm","--","--","--","--","--","--","1.09 m","--","--","--","--","3:23:22 h:m:s"
"11/22/2020","6","57.72 km","9.62 km","21.10 km","5:30:42 h:m:s","5:29:28 h:m:s","55:07 h:m:s","2:05:17 h:m:s","--","--","--","--","--","--","--","--","3,635","639 m","128 m","290 m","656 m","131 m","295 m","10.5 km/h","231.9 km/h","5:44 /km","--","0:16 /km","142 bpm","196 bpm","164 ppm","174 ppm","--","--","--","--","--","--","1.08 m","--","--","--","--","5:30:42 h:m:s"
"11/15/2020","3","62.27 km","20.76 km","51.50 km","7:13:23 h:m:s","7:12:03 h:m:s","2:24:28 h:m:s","6:07:00 h:m:s","--","--","--","--","--","--","--","--","4,036","1,025 m","342 m","887 m","1,027 m","342 m","871 m","8.6 km/h","215.2 km/h","6:58 /km","--","0:17 /km","134 bpm","181 bpm","161 ppm","244 ppm","--","--","--","--","--","--","0.96 m","--","--","--","--","7:13:23 h:m:s"
"11/08/2020","3","91.90 km","30.63 km","47.77 km","19:13:30 h:m:s","13:07:10 h:m:s","6:24:30 h:m:s","14:53:29 h:m:s","--","--","--","--","--","--","--","--","5,237","1,057 m","352 m","504 m","1,063 m","354 m","507 m","4.8 km/h","216.7 km/h","12:33 /km","--","0:17 /km","115 bpm","169 bpm","148 ppm","248 ppm","--","--","--","--","--","--","1.18 m","--","--","--","--","19:13:30 h:m:s"
"11/01/2020","3","51.23 km","17.08 km","21.20 km","5:02:16 h:m:s","5:01:13 h:m:s","1:40:45 h:m:s","2:10:46 h:m:s","--","--","--","--","--","--","--","--","3,186","684 m","228 m","308 m","725 m","242 m","306 m","10.2 km/h","226.6 km/h","5:54 /km","--","0:16 /km","140 bpm","171 bpm","161 ppm","234 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","5:02:16 h:m:s"
"10/25/2020","2","40.01 km","20.00 km","30.00 km","3:37:13 h:m:s","3:36:43 h:m:s","1:48:37 h:m:s","2:41:50 h:m:s","--","--","--","--","--","--","--","--","2,602","494 m","247 m","391 m","482 m","241 m","387 m","11.1 km/h","235.0 km/h","5:26 /km","--","0:15 /km","141 bpm","166 bpm","165 ppm","174 ppm","--","--","--","--","--","--","1.11 m","--","--","--","--","3:37:13 h:m:s"
"10/18/2020","3","32.31 km","10.77 km","12.01 km","2:48:59 h:m:s","2:48:33 h:m:s","56:20 h:m:s","1:02:43 h:m:s","--","--","--","--","--","--","--","--","2,080","449 m","150 m","184 m","439 m","146 m","177 m","11.5 km/h","235.3 km/h","5:14 /km","--","0:15 /km","139 bpm","162 bpm","165 ppm","174 ppm","--","--","--","--","--","--","1.15 m","--","--","--","--","2:48:59 h:m:s"
"10/11/2020","4","52.30 km","13.07 km","25.01 km","5:37:40 h:m:s","5:34:15 h:m:s","1:24:25 h:m:s","2:13:12 h:m:s","--","--","--","--","--","--","--","--","3,454","805 m","201 m","358 m","749 m","187 m","356 m","9.3 km/h","230.7 km/h","6:27 /km","--","0:16 /km","128 bpm","173 bpm","150 ppm","240 ppm","--","--","--","--","--","--","0.95 m","--","--","--","--","5:37:40 h:m:s"
"10/04/2020","2","27.02 km","13.51 km","14.01 km","2:16:23 h:m:s","2:16:00 h:m:s","1:08:11 h:m:s","1:11:58 h:m:s","--","--","--","--","--","--","--","--","1,780","357 m","179 m","209 m","352 m","176 m","204 m","11.9 km/h","228.0 km/h","5:03 /km","--","0:16 /km","146 bpm","176 bpm","169 ppm","176 ppm","--","--","--","--","--","--","1.18 m","--","--","--","--","2:16:23 h:m:s"
"09/27/2020","3","43.54 km","14.51 km","22.48 km","3:53:09 h:m:s","3:52:33 h:m:s","1:17:43 h:m:s","2:04:11 h:m:s","--","--","--","--","--","--","--","--","2,917","543 m","181 m","270 m","544 m","181 m","272 m","11.2 km/h","232.7 km/h","5:21 /km","--","0:15 /km","145 bpm","170 bpm","165 ppm","174 ppm","--","--","--","--","--","--","1.14 m","--","--","--","--","3:53:09 h:m:s"
"09/20/2020","3","30.26 km","10.09 km","10.25 km","2:53:05 h:m:s","2:52:20 h:m:s","57:42 h:m:s","1:00:31 h:m:s","--","--","--","--","--","--","--","--","1,901","409 m","136 m","150 m","404 m","135 m","149 m","10.5 km/h","232.3 km/h","5:43 /km","--","0:15 /km","133 bpm","169 bpm","164 ppm","174 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","2:53:05 h:m:s"
"09/13/2020","2","71.02 km","35.51 km","60.00 km","6:29:55 h:m:s","6:29:18 h:m:s","3:14:57 h:m:s","5:32:38 h:m:s","--","--","--","--","--","--","--","--","5,224","762 m","381 m","633 m","759 m","380 m","631 m","10.9 km/h","225.4 km/h","5:29 /km","--","0:16 /km","149 bpm","193 bpm","167 ppm","178 ppm","--","--","--","--","--","--","1.12 m","--","--","--","--","6:29:55 h:m:s"
"09/06/2020","3","38.28 km","12.76 km","21.01 km","3:26:20 h:m:s","3:25:42 h:m:s","1:08:47 h:m:s","1:52:23 h:m:s","--","--","--","--","--","--","--","--","2,533","480 m","160 m","286 m","499 m","166 m","277 m","11.1 km/h","210.9 km/h","5:23 /km","--","0:17 /km","146 bpm","185 bpm","165 ppm","174 ppm","--","--","--","--","--","--","1.11 m","--","--","--","--","3:26:20 h:m:s"
"08/30/2020","3","29.27 km","9.76 km","14.48 km","2:49:21 h:m:s","2:46:39 h:m:s","56:27 h:m:s","1:29:00 h:m:s","--","--","--","--","--","--","--","--","2,112","446 m","149 m","238 m","444 m","148 m","281 m","10.4 km/h","235.1 km/h","5:47 /km","--","0:15 /km","141 bpm","172 bpm","160 ppm","172 ppm","--","--","--","--","--","--","1.04 m","--","--","--","--","2:49:21 h:m:s"
"08/23/2020","1","18.47 km","18.47 km","18.47 km","1:39:27 h:m:s","1:39:15 h:m:s","1:39:27 h:m:s","1:39:27 h:m:s","--","--","--","--","--","--","--","--","1,269","282 m","282 m","282 m","276 m","276 m","276 m","11.1 km/h","20.4 km/h","5:23 /km","--","2:57 /km","149 bpm","171 bpm","168 ppm","174 ppm","--","--","--","--","--","--","1.11 m","--","--","--","--","1:39:27 h:m:s"
"08/16/2020","1","13.60 km","13.60 km","13.60 km","1:16:38 h:m:s","1:16:31 h:m:s","1:16:38 h:m:s","1:16:38 h:m:s","--","--","--","--","--","--","--","--","847","184 m","184 m","184 m","181 m","181 m","181 m","10.6 km/h","213.6 km/h","5:38 /km","--","0:17 /km","137 bpm","151 bpm","164 ppm","172 ppm","--","--","--","--","--","--","1.08 m","--","--","--","--","1:16:38 h:m:s"
"08/09/2020","4","26.36 km","6.59 km","10.74 km","2:19:55 h:m:s","2:18:02 h:m:s","34:59 h:m:s","46:48 h:m:s","--","--","--","--","--","--","--","--","1,187","307 m","77 m","119 m","305 m","76 m","148 m","11.3 km/h","211.2 km/h","5:18 /km","--","0:17 /km","121 bpm","181 bpm","163 ppm","170 ppm","--","--","--","--","--","--","0.99 m","--","--","--","--","2:19:55 h:m:s"
"08/02/2020","3","22.98 km","7.66 km","10.01 km","2:27:15 h:m:s","2:24:17 h:m:s","49:05 h:m:s","1:01:53 h:m:s","--","--","--","--","--","--","--","--","1,659","264 m","88 m","113 m","225 m","75 m","108 m","9.4 km/h","214.6 km/h","6:25 /km","--","0:17 /km","136 bpm","170 bpm","163 ppm","174 ppm","--","--","--","--","--","--","0.98 m","--","--","--","--","2:27:15 h:m:s"
"07/26/2020","3","16.12 km","5.37 km","9.01 km","1:29:12 h:m:s","1:29:02 h:m:s","29:44 h:m:s","50:58 h:m:s","--","--","--","--","--","--","--","--","1,158","226 m","113 m","151 m","214 m","107 m","124 m","10.8 km/h","224.6 km/h","5:32 /km","--","0:16 /km","119 bpm","150 bpm","168 ppm","176 ppm","--","--","--","--","--","--","0.83 m","--","--","--","--","1:29:12 h:m:s"
"07/19/2020","2","25.51 km","12.75 km","16.50 km","2:07:29 h:m:s","2:07:11 h:m:s","1:03:45 h:m:s","1:28:03 h:m:s","--","--","--","--","--","--","--","--","1,452","300 m","150 m","223 m","308 m","154 m","227 m","12.0 km/h","218.3 km/h","5:00 /km","--","0:16 /km","141 bpm","176 bpm","168 ppm","184 ppm","--","--","--","--","--","--","1.24 m","--","--","--","--","2:07:29 h:m:s"
"07/12/2020","2","33.24 km","16.62 km","25.23 km","3:13:17 h:m:s","3:12:59 h:m:s","1:36:39 h:m:s","2:26:07 h:m:s","--","--","--","--","--","--","--","--","1,957","467 m","234 m","368 m","465 m","232 m","370 m","10.3 km/h","231.9 km/h","5:49 /km","--","0:16 /km","138 bpm","182 bpm","164 ppm","174 ppm","--","--","--","--","--","--","1.04 m","--","--","--","--","3:13:17 h:m:s"
"07/05/2020","2","27.21 km","13.61 km","16.10 km","2:31:00 h:m:s","2:30:30 h:m:s","1:15:30 h:m:s","1:25:53 h:m:s","--","--","--","--","--","--","--","--","1,982","310 m","155 m","160 m","324 m","162 m","171 m","10.8 km/h","215.5 km/h","5:33 /km","--","0:17 /km","149 bpm","173 bpm","165 ppm","176 ppm","--","--","--","--","--","--","1.08 m","--","--","--","--","2:31:00 h:m:s"
"06/28/2020","1","14.09 km","14.09 km","14.09 km","1:21:26 h:m:s","1:21:15 h:m:s","1:21:26 h:m:s","1:21:26 h:m:s","--","--","--","--","--","--","--","--","882","177 m","177 m","177 m","181 m","181 m","181 m","10.4 km/h","211.3 km/h","5:47 /km","--","0:17 /km","133 bpm","147 bpm","168 ppm","174 ppm","--","--","--","--","--","--","1.03 m","--","--","--","--","1:21:26 h:m:s"
"06/21/2020","2","33.51 km","16.75 km","23.50 km","3:08:18 h:m:s","3:07:55 h:m:s","1:34:09 h:m:s","2:10:02 h:m:s","--","--","--","--","--","--","--","--","2,238","484 m","242 m","344 m","479 m","240 m","340 m","10.7 km/h","211.6 km/h","5:37 /km","--","0:17 /km","139 bpm","173 bpm","165 ppm","172 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","3:08:18 h:m:s"
"06/14/2020","3","34.54 km","11.51 km","14.26 km","3:15:31 h:m:s","3:14:55 h:m:s","1:05:10 h:m:s","1:20:27 h:m:s","--","--","--","--","--","--","--","--","2,091","464 m","155 m","211 m","464 m","155 m","211 m","10.6 km/h","234.5 km/h","5:40 /km","--","0:15 /km","134 bpm","158 bpm","165 ppm","174 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","3:15:31 h:m:s"
"06/07/2020","2","45.96 km","22.98 km","28.96 km","3:34:05 h:m:s","3:23:09 h:m:s","1:47:03 h:m:s","1:59:58 h:m:s","--","--","--","--","--","--","--","--","2,204","847 m","423 m","597 m","915 m","458 m","660 m","12.9 km/h","46.4 km/h","4:39 /km","--","1:18 /km","141 bpm","180 bpm","164 ppm","174 ppm","--","--","--","--","--","--","1.10 m","--","--","--","--","3:34:05 h:m:s"
"05/31/2020","5","33.52 km","6.70 km","14.25 km","2:55:11 h:m:s","2:54:06 h:m:s","35:02 h:m:s","1:19:28 h:m:s","--","--","--","--","--","--","--","--","2,083","259 m","65 m","181 m","244 m","81 m","167 m","11.5 km/h","235.4 km/h","5:14 /km","--","0:15 /km","146 bpm","172 bpm","170 ppm","186 ppm","--","--","--","--","--","--","1.28 m","--","--","--","--","2:55:11 h:m:s"
